gdp,tz,gz,rk,fj
1304.63 ,850809.00 ,5945.34 ,760.72 ,5143.04 
1425.07 ,1231136.00 ,4546.16 ,762.00 ,5253.59 
1542.60 ,1284983.00 ,4629.26 ,765.52 ,5215.58 
1796.11 ,2200965.00 ,4729.90 ,788.65 ,5407.48 
1505.61 ,1107393.00 ,6450.06 ,757.72 ,5819.67 
1692.40 ,1557658.00 ,5109.41 ,777.33 ,6358.00 
1798.95 ,1663444.00 ,5229.18 ,778.77 ,7219.33 
2153.93 ,2709536.00 ,5680.57 ,804.00 ,7074.67 
1746.64 ,1372234.00 ,7361.07 ,770.48 ,8313.67 
1986.89 ,1818981.00 ,5850.94 ,775.90 ,7384.33 
2188.13 ,1980360.00 ,6014.72 ,781.51 ,6684.33 
2294.16 ,2452711.00 ,6086.37 ,785.01 ,7440.33 
1837.88 ,1250749.00 ,8109.29 ,781.17 ,7639.00 
2079.39 ,1593404.00 ,6402.61 ,784.40 ,8883.33 
2469.02 ,2074248.00 ,6505.42 ,802.44 ,8949.33 
2726.47 ,3255048.00 ,6591.29 ,806.68 ,9239.00 
2277.79 ,1473936.00 ,8950.95 ,791.62 ,10677.67 
2608.22 ,2062862.00 ,7080.78 ,799.02 ,11172.00 
2768.27 ,2510733.00 ,7282.78 ,805.82 ,11554.67 
2950.20 ,3789051.00 ,7350.07 ,814.03 ,12735.33 
2640.79 ,1664374.00 ,10005.20 ,803.14 ,14230.67 
3060.00 ,2815101.00 ,7895.12 ,817.07 ,14606.00 
3217.75 ,3973235.00 ,8221.40 ,823.15 ,14821.00 
3384.58 ,4614668.00 ,8317.04 ,815.13 ,14764.67 
2856.25 ,2046447.00 ,11137.50 ,811.58 ,14823.00 
3357.50 ,3153918.00 ,8592.37 ,821.79 ,15176.00 
3609.56 ,3860003.00 ,9186.98 ,828.45 ,15522.33 
3727.90 ,4644143.00 ,9134.08 ,823.32 ,16367.33 
3261.11 ,2819429.00 ,12247.84 ,819.30 ,17273.67 
3791.31 ,3596706.00 ,10805.71 ,830.42 ,17819.00 
4075.47 ,4389628.00 ,9856.16 ,828.00 ,18766.33 
4292.25 ,4991035.00 ,9139.39 ,825.93 ,18796.67 
3507.93 ,3224915.00 ,11247.84 ,829.31 ,18691.00 
4158.25 ,4648073.00 ,10605.71 ,849.41 ,18587.33 
4310.43 ,4754135.00 ,10056.16 ,830.46 ,18435.00 
4730.26 ,5534406.00 ,11044.89 ,847.27 ,19315.33 
3768.40 ,3955713.00 ,12050.56 ,839.42 ,19798.67 
4516.87 ,5065237.00 ,12644.30 ,861.01 ,19142.00 
4698.04 ,6484006.00 ,11649.14 ,849.02 ,19989.33 
5117.10 ,5870935.00 ,10390.60 ,834.24 ,19916.00 
4118.39 ,4012957.00 ,13913.00 ,851.19 ,20323.67 
4725.92 ,6005445.00 ,12957.00 ,870.52 ,20824.67 
5193.47 ,7396314.00 ,12660.00 ,864.92 ,21176.00 
5573.16 ,7993833.00 ,13051.00 ,861.83 ,22329.67 
4692.36 ,4436610.00 ,15083.00 ,870.49 ,24398.33 
5199.12 ,6583795.00 ,14096.00 ,888.17 ,27096.67 
5617.58 ,7775351.00 ,14506.00 ,884.29 ,31574.67 
5994.09 ,8233179.00 ,15842.00 ,882.63 ,30925.67 
